language_code,language_name,script_direction,metadata
lgn,T'apo,left-to-right,"{""description"": ""Opuuo"", ""region"": ""Ethiopia, Africa"", ""alternate-names"": [""Ansita"", ""Ciita"", ""Cita"", ""Kina"", ""Kwina"", ""Opo"", ""Opo-Shita"", ""Opuo"", ""Shiita"", ""Shita"", ""Langa"", ""Shitta"", ""Kusgilo"", ""Baruun"", ""Buldit (Barun)""]}"
lgo,Lango (South Sudan),,{}
lgq,Logba,left-to-right,"{""region"": ""Ghana, Africa"", ""alternate-names"": [""Ikpana""]}"
lgr,Lengo,left-to-right,"{""region"": ""Solomon Islands, Pacific"", ""alternate-names"": [""Doku"", ""Ruavatu"", ""Tadhimboko"", ""Ghaimuta (Ghua)""]}"
lgt,Pahi,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Lugitama"", ""Riahoma"", ""Wansum""]}"
lgu,Longgu,left-to-right,"{""region"": ""Solomon Islands, Pacific"", ""alternate-names"": [""Logu""]}"
lgz,Ligenza,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Digenja"", ""Gendja"", ""Gendza-Bali""]}"
lha,Laha (Viet Nam),left-to-right,"{""region"": ""Viet Nam, Asia"", ""alternate-names"": [""Khl\u00e1"", ""Khl\u00e1 Don"", ""Khl\u00e1 Dung"", ""Khl\u00e1 Phlao"", ""Kl\u00e1 Dong"", ""La Ha Ung"", ""Liik"", ""X\u00e1 Chien"", ""X\u00e1 Khao"", ""X\u00e1 Lay""]}"
lhh,Laha (Indonesia),left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Central Ambon""]}"
lhi,Lahu Shi,left-to-right,"{""region"": ""China, Asia"", ""alternate-names"": [""Kur"", ""Kwi"", ""Lahu Xi"", ""Shi"", ""Yellow Lahu"", ""Kui"", ""!Kwi"", ""Bakeo"", ""Banlan""]}"
lhl,Lahul Lohar,left-to-right,"{""region"": ""India, Asia"", ""alternate-names"": [""Garas"", ""Lohar""]}"
lhm,Lhomi,left-to-right,"{""region"": ""Nepal, Asia"", ""alternate-names"": [""Lhoket"", ""Shing Saapa"", ""Syingsaaba"", ""Bho Te bhasha"", ""Kar Bhote"", ""Kath Bhote""]}"
lhn,Lahanan,left-to-right,"{""region"": ""Malaysia, Asia"", ""alternate-names"": [""Lanan"", ""Lanun""]}"
lhp,Lhokpu,left-to-right,"{""region"": ""Bhutan, Asia"", ""alternate-names"": [""Lhobikha"", ""Taba-Damey-Bikha""]}"
lhs,Mlahsö,,{}
lht,Lo-Toga,left-to-right,"{""region"": ""Vanuatu, Pacific"", ""alternate-names"": [""Loh-Toga"", ""Lo"", ""Toga""]}"
lhu,Lahu,left-to-right,"{""region"": ""China, Asia"", ""alternate-names"": [""Kaixien"", ""Kucong"", ""Kutsong"", ""Lahuna"", ""Laku"", ""Lohei"", ""Moso"", ""Muhso"", ""Mussar"", ""Musso"", ""Mussuh"", ""Namen"", ""Museu"", ""Launa"", ""Muhsur"", ""Musser"", ""Mooso"", ""Musser Dam"", ""Southern Lahu"", ""Red Lahu"", ""Nyi (Musseh Daeng)"", ""Nyi (Musse Daeng)"", ""Nyi (Luhishi)"", ""Na (Black Lahu)"", ""Musseh Daeng"", ""Luhushi"", ""Loheirn"", ""Lahu Phung (White Lahu)"", ""Khucong"", ""Northern Lahu""]}"
lia,West-Central Limba,left-to-right,"{""region"": ""Sierra Leone, Africa"", ""alternate-names"": [""Yimba"", ""Yumba"", ""Central Limba (Gbongogbo)"", ""Tamiso"", ""Tonko"", ""Western Limba (Sela)""]}"
lib,Likum,left-to-right,"{""region"": ""Papua New Guinea, Pacific""}"
lic,Hlai,left-to-right,"{""region"": ""China, Asia"", ""alternate-names"": [""Bli"", ""Dai"", ""Day"", ""Dli"", ""Klai"", ""La"", ""Lai"", ""Le"", ""Li"", ""Loi"", ""Slai"", ""Tongshi-Qiandui-Baocheng"", ""Local Li"", ""Zwn"", ""Bendi (Baisha-Yuanmen)"", ""Meifu (Moifau)"", ""Ha (Luohua-Hayan-Baoxian)"", ""Qi (Gei)""]}"
lid,Nyindrou,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Lindau"", ""Lindrou"", ""Nyada"", ""Salien""]}"
lie,Likila,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Balobo"", ""Bangela""]}"
lif,Limbu,left-to-right,"{""region"": ""Nepal, Asia"", ""alternate-names"": [""Limbo"", ""Limboo"", ""Lumbu"", ""Chaubise (Charkhole)"", ""Chhathar"", ""Chhatthare (Chatthare)"", ""Tamorkhole (Taplejunge)"", ""Yanggrokke (Yanggruppe)""]}"
lig,Ligbi,left-to-right,"{""region"": ""Ghana, Africa"", ""alternate-names"": [""Banda"", ""Jogo"", ""Ligwi"", ""Nigbi"", ""Nigwi"", ""Tuba"", ""Dzowo"", ""Namasa"", ""Tsie"", ""Weela"", ""Weila"", ""Wiila"", ""Atumfuor (Atumfuor-Kasa)"", ""Dwera (Manji-Kasa)"", ""Hwela (Vwela)""]}"
lih,Lihir,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Lir""]}"
lii,Lingkhim,,"{""use-instead"": ""raq"", ""description"": ""Deprecated from 2015-02-12. ""}"
lij,Ligurian,left-to-right,"{""region"": ""Italy, Europe"", ""alternate-names"": [""Ligure"", ""Zen\u00e9ize"", ""Genoese (Genoan)"", ""Genovese"", ""Mon\u00e9gasque (Munegasc)"", ""Ventimigliese""]}"
